"""I've watched through his eyes, I've listened through his ears, and tell you he's the one. Or at least as close as we're going to get.”",“我通过他的眼睛观察过，通过他的耳朵倾听过。我告诉你，他就是那个人——或者至少是我们能找到的最接近目标的人。”,,
"""That's what you said about the brother.”",“你当初对他哥哥也是这么说的。”,,
"""The brother tested out impossible. For other reasons. Nothing to do with his ability.”",“他哥哥被判定绝对不行，不过那是因为其他因素，跟他的能力没关系。”,,
"""Same with the sister. And there are doubts about him. He's too malleable. Too willing to submerge himself in someone else's will.”",“他姐姐也是同样的问题。而且我们对他也有担心——这个孩子太容易被影响，太容易把自己的想法让位给别人。”,,
"""Not if the other person is his enemy.”",“但要是对方是他的敌人，那就另当别论了。”,,
"""So what do we do? Surround him with enemies all the time?”",“那我们要怎么做？难道要让他时时刻刻都被敌人围着？”,"""I've watched through his eyes, I've listened through his ears, and tell you he's the one. Or at least as close as we're going to get.”",“我通过他的眼睛观察过，通过他的耳朵倾听过。我告诉你，他就是那个人——或者至少是我们能找到的最接近目标的人。”
"""If we have to.”",“如果那是必要的，就这么做。”,"""That's what you said about the brother.”",“你当初对他哥哥也是这么说的。”
"""I thought you said you liked this kid.”",“你不是说你挺喜欢这孩子的吗？”,"""The brother tested out impossible. For other reasons. Nothing to do with his ability.”",“他哥哥被判定绝对不行，不过那是因为其他因素，跟他的能力没关系。”
"""If the buggers get him, they'll make me look like his favorite uncle.”",“要是被虫族逮住了，他们会对他做的事，会让我显得好像是他最慈祥的叔叔一样。”,"""Same with the sister. And there are doubts about him. He's too malleable. Too willing to submerge himself in someone else's will.”",“他姐姐也是同样的问题。而且我们对他也有担心——这个孩子太容易被影响，太容易把自己的想法让位给别人。”
"""All right. We're saving the world, after all. Take him.”",“好吧。毕竟我们是要拯救世界的。带走他吧。”,"""Not if the other person is his enemy.”",“但要是对方是他的敌人，那就另当别论了。”
